baseMean;log2FoldChange.x;lfcSE;pvalue;padj.x;gene_id;State;ensgene;majZGA
1,061357558;1,400978711;0,858929951;0,026229355;0,040595814;2410137M14Rik;UP;NA;non_ZGA
55,46575308;-1,725702695;0,257023448;5,41E-12;2,07E-11;2510002D24Rik;DOWN;NA;B6CASTF1_ZGA
5,800551927;-0,615585055;0,624630363;0,219850442;0,278492899;2510009E07Rik;;NA;non_ZGA
72,02216672;-0,236629263;0,197352203;0,221622665;0,280404681;2510039O18Rik;;NA;non_ZGA
25,33816372;0,108703341;0,222266022;0,614963988;0,674010646;2610001J05Rik;;ENSMUSG00000052419;NA
66,63257986;-0,012162727;0,160256713;0,939362391;0,952404748;2610002M06Rik;;NA;non_ZGA
63,19185643;-2,683927579;0,162405577;2,82E-62;9,86E-61;2610005L07Rik;DOWN;ENSMUSG00000071793;NA
3,614879565;0,188440613;0,225433695;0,39296968;0,460704448;2610008E11Rik;;NA;non_ZGA
207,2967944;0,909071004;0,160578615;8,98E-09;2,77E-08;2610021A01Rik;UP;ENSMUSG00000091474;NA
0,177374933;0,38841583;0,928691087;0,66193352;NA;2610024D14Rik;;NA;NA
12,72452688;-2,890020906;0,418736866;6,78E-13;2,73E-12;2610028H24Rik;DOWN;NA;B6CASTF1_ZGA
0,56922115;0,432657717;0,768201571;0,442824823;0,509846312;2610042L04Rik;;NA;NA
120,2015915;-1,444729435;0,143669103;2,73E-24;2,02E-23;2610044O15Rik8;DOWN;ENSMUSG00000071302;non_ZGA
1,139344441;0,354461606;0,573948669;0,440411388;0,507341546;2610301B20Rik;;NA;non_ZGA
137,1629921;-1,694312666;0,176286757;2,25E-22;1,52E-21;2610318N02Rik;DOWN;NA;common_ZGA
391,599512;0,427758186;0,133217845;0,001133807;0,002174507;2610507B11Rik;UP;ENSMUSG00000010277;non_ZGA
3,319051759;-1,100773507;0,600511088;0,029374425;0,045038532;2610528A11Rik;DOWN;NA;non_ZGA
2,404202963;-1,097184819;0,55183221;0,021469121;0,033792431;2610528J11Rik;DOWN;NA;non_ZGA
359,8296573;0,010878832;0,076151519;0,885490322;0,909169307;2700049A03Rik;;NA;non_ZGA
364,6586567;0,044449532;0,103536067;0,664699;0,720045558;2700062C07Rik;;ENSMUSG00000024273;non_ZGA
5,678822498;-0,145324883;0,36006529;0,665807793;0,720990278;2700081O15Rik;;NA;non_ZGA
46,90863525;-3,163186865;0,217865253;3,16E-49;7,06E-48;2700097O09Rik;DOWN;NA;C57BL6_ZGA
52,58764642;-0,649767795;0,181576046;0,00027259;0,000563548;2700099C18Rik;DOWN;NA;NA
183,0706508;-0,964986223;0,120226791;6,20E-16;2,97E-15;2810004N23Rik;DOWN;NA;B6CASTF1_ZGA
39,82513083;-2,762211988;0,200822323;6,66E-44;1,22E-42;2810006K23Rik;DOWN;NA;common_ZGA
20,98778006;-2,0775396;0,364311702;1,80E-09;5,83E-09;2810021J22Rik;DOWN;ENSMUSG00000020491;non_ZGA
135,1056203;1,112431934;0,133488373;3,72E-17;1,91E-16;2810025M15Rik;UP;NA;NA
39,50783861;1,8208695;0,181885265;2,90E-24;2,14E-23;2810039B14Rik;UP;NA;NA
0,441838285;-2,206292483;1,810358162;0,160349735;0,210538017;2810047C21Rik1;;NA;NA
2,382999441;0,160860232;0,626604391;0,741459178;0,786573833;2810408A11Rik;;NA;non_ZGA
6,669438068;-0,780897657;0,44479301;0,051691347;0,075873518;2810459M11Rik;;NA;non_ZGA
160,7665502;1,084736487;0,118909195;3,72E-20;2,22E-19;2900026A02Rik;UP;NA;non_ZGA
0,01498979;0,198944849;1,015066089;0,892897488;NA;2900092C05Rik;;NA;non_ZGA
22,44929817;-0,45472583;0,202878204;0,021383118;0,03366949;3000002C10Rik;DOWN;NA;NA
265,2849954;-0,995855919;0,118093345;2,00E-17;1,04E-16;3110001I22Rik;DOWN;ENSMUSG00000079737;non_ZGA
30,29813445;0,703731315;0,162204892;1,04E-05;2,49E-05;3110009E18Rik;UP;NA;non_ZGA
0,074848182;-0,236586509;1,005480139;0,930612526;NA;3110009M11Rik;;NA;NA
0,544298336;5,414250915;2,043010547;0,069446971;0,099297108;3110021N24Rik;;NA;non_ZGA
257,1727119;6,829843695;0,242828138;7,12E-175;3,90E-172;3110040M04Rik;UP;NA;NA
20,55898536;-0,240626747;0,192652413;0,203117745;0,259625925;3110040N11Rik;;NA;non_ZGA
11,37429341;-0,716615993;0,215436514;0,000621749;0,001231656;3110053B16Rik;DOWN;NA;NA
2,474723594;-2,84205756;0,626141601;4,35E-07;1,18E-06;3110067C02Rik;DOWN;NA;NA
43,20430426;-0,049614085;0,183027485;0,783348746;0,823068164;3110082I17Rik;;NA;non_ZGA
2,463367523;6,185767838;0,945190783;1,13E-15;5,35E-15;3110082J24Rik;UP;NA;non_ZGA
4,266790959;-0,841060492;0,333492681;0,007645124;0,012973894;3300002I08Rik;DOWN;NA;non_ZGA
0;NA;NA;NA;NA;3425401B19Rik;;NA;non_ZGA
4,087554002;-2,343146773;0,535712322;2,05E-06;5,25E-06;3830403N18Rik;DOWN;NA;non_ZGA
163,3242005;1,071855627;0,143686183;3,69E-14;1,60E-13;3830406C13Rik;UP;ENSMUSG00000033111;non_ZGA
27,57142751;-0,291104784;0,259932506;0,242086346;0,302845829;4632415L05Rik;;NA;NA
1,772040926;0,144905592;0,501320547;0,737381594;0,783105276;4632433K11Rik;;NA;NA
0,086614352;0,224249144;1,016728695;0,815035597;NA;4833418N17Rik;;NA;NA
239,7371937;-0,680641173;0,097689561;2,54E-12;9,93E-12;4833420G17Rik;DOWN;ENSMUSG00000062822;non_ZGA
436,9409028;-0,13090609;0,108315643;0,22333747;0,282306294;4833439L19Rik;;NA;non_ZGA
0,217239331;-0,081714791;0,879375742;0,983252054;NA;4921504E06Rik;;NA;non_ZGA
9,781204212;-0,5611031;0,373102292;0,105625903;0,144793386;4921507P07Rik;;NA;non_ZGA
0,097777953;0,329214874;1,05730318;0,789167301;NA;4921509C19Rik;;NA;non_ZGA
0;NA;NA;NA;NA;4921511C20Rik;;NA;NA
1,465567476;0,420462809;0,605079088;0,376894249;0,444595933;4921517D22Rik;;NA;non_ZGA
338,2786003;0,49709099;0,113958951;1,11E-05;2,64E-05;4921524J17Rik;UP;ENSMUSG00000036934;non_ZGA
0,189920689;0,047983161;0,885383358;0,864913074;NA;4921524L21Rik;;NA;non_ZGA
1,20622797;-0,404044063;0,605170279;0,408058188;0,475439853;4921533I20Rik;;NA;NA
26,3831042;1,426769238;0,285781929;1,93E-07;5,38E-07;4921536K21Rik;UP;NA;non_ZGA
0,030374887;0,237507327;1,031782528;0,873615775;NA;4921539E11Rik;;NA;non_ZGA
0;NA;NA;NA;NA;4930402F06Rik;;NA;non_ZGA
294,3149514;-0,817921445;0,098379116;6,36E-17;3,23E-16;4930402H24Rik;DOWN;NA;non_ZGA
0;-0,196291932;0,981942459;1;NA;4930402K13Rik;;NA;non_ZGA
0,596008705;1,375547484;0,755898894;0,034259681;0,051938797;4930404H24Rik;;NA;NA
