;Supplementary Table 2. Differential gene expression analyses in Dux WT and MZ-KO 2-cell embryos;;;;;;;;;;;;;;;;RPKM: Reads Per Kilobase of gene, per Million mapped reads
Gene Symbol;RPKM;;;;;;;;DESeq_output;;;;;;;Group (FC>2&FDR<0.05);Three RNA-seq replicates from each group were used for analyses. Negative binomial test from DESeq R package was used to compute FDR using raw read counts of each gene.  Differentially expressed genes were defined as (RPKM > 1 in either WT or MZ-KO, FDR < 0.05, and FC > 2)
;WT_rep1;WT_rep2;WT_rep3;MZ-KO_rep1;MZ-KO_rep2;MZ-KO_rep3;WT_mean;KO_mean;baseMean;baseMeanA;baseMeanB;fold change (FC);log2FC;pval;FDR;;Related to Figure 2A
1190002H23Rik;25,8102;22,2814;14,9264;24,4195;24,2633;28,0695;21,006;25,5841;301,1144836;263,5362555;338,6927117;1,285184504;0,361975491;0,224406415;0,781640323;similar level;
1190002N15Rik;13,6177;10,2739;20,5903;23,3257;16,1865;17,5699;14,8273;19,02736667;1102,988146;943,6938715;1262,28242;1,337597348;0,419643893;0,320328556;0,858528728;similar level;
1190003J15Rik;21,6722;28,73;16,1053;9,82757;10,377;11,8641;22,16916667;10,68955667;122,3517373;164,8437282;79,85974642;0,484457294;-1,045558602;0,014751751;0,247720026;similar level;
1190003K10Rik;1,08409;0,980078;0,998153;0,301143;0,527311;1,07457;1,020773667;0,634341333;13,84420038;16,77103323;10,91736754;0,650965709;-0,619346546;0,582504225;0,960142262;similar level;
1190005F20Rik;9,59889;10,1762;7,099;7,1378;8,88782;9,173;8,95803;8,39954;462,1703768;461,9162198;462,4245338;1,001100446;0,001586736;0,888302507;1;similar level;
1190005I06Rik;189,174;188,171;183,102;194,108;172,695;195,311;186,8156667;187,3713333;1767,509897;1736,587451;1798,432344;1,035612887;0,050484824;0,891391219;1;similar level;
1190007F08Rik;1,26977;0,539274;0,260475;2,2906;0,884596;0,561264;0,689839667;1,245486667;181,9930197;167,3045248;196,6815146;1,17558993;0,233384906;0,689610299;0,979212517;similar level;
1190007I07Rik;49,1945;45,653;71,8951;3,18745;29,1038;21,2085;55,58086667;17,83325;271,8223199;408,7251956;134,9194443;0,330098183;-1,599032899;0,00567803;0,147065428;similar level;
1200009I06Rik;0,623795;0,268545;0,207283;0,173281;0;0,117774;0,366541;0,097018333;11,28928826;17,52016251;5,058414018;0,288719583;-1,792259129;0,122359564;0,648331142;similar level;
1200011I18Rik;9,71725;12,4236;11,6374;9,74444;7,40962;8,71437;11,25941667;8,62281;996,1706321;1108,717154;883,6241104;0,796978839;-0,327386675;0,151023118;0,696548341;similar level;
