gene name;baseMean;log2FoldChange;pvalue;padj;logP;Group;class
Cnot7;1905,087439;0,53652329;0,068353394;0,169990507;0,769575332;not-signficant;other
4930440I19Rik;2,092589032;4,421104443;0,068415863;0,170088147;0,76932595;not-signficant;other
Col2a1;6,965132113;2,040911849;0,068413319;0,170088147;0,76932595;not-signficant;other
Grk6;16,11405727;-1,341388645;0,068429373;0,170092887;0,769313848;not-signficant;other
Zdhhc16;39,88500705;-0,94404061;0,068468297;0,170160783;0,769140524;not-signficant;other
Rabif;268,9210781;-0,594410068;0,068492366;0,170191745;0,769061509;not-signficant;other
D930048N14Rik;4,330127484;2,561247413;0,06852582;0,170246011;0,768923055;not-signficant;other
Psrc1;33,0356316;1,001681212;0,068630917;0,170478222;0,768331093;not-signficant;maternal
Snrpb2;151,564723;-0,656960682;0,068659323;0,170519884;0,768224971;not-signficant;maternal
Rps27a;582,6250775;-0,573253067;0,068779931;0,170761556;0,767609896;not-signficant;other
Tmod2;171,5789761;0,659778731;0,068772358;0,170761556;0,767609896;not-signficant;other
Vps33a;37,07043763;-1,09439651;0,068793213;0,170765609;0,767599588;not-signficant;other
Golm1;56,12745941;0,791808827;0,068847735;0,17087201;0,767329071;not-signficant;maternal
Srp72;308,613531;0,604758178;0,06893721;0,171036284;0,766911748;not-signficant;other
Thoc2;245,3661836;-0,657344419;0,068937261;0,171036284;0,766911748;not-signficant;other
Map2k2;117,2118684;-0,856068125;0,068967591;0,171053629;0,766867707;not-signficant;other
Zdbf2;8,706029169;-1,71511531;0,068956149;0,171053629;0,766867707;not-signficant;other
Hist1h4c;104,4651615;1,087806736;0,068988665;0,171076951;0,766808498;not-signficant;other
Kat8;91,11570442;-1,020964494;0,069015658;0,171114939;0,766712072;not-signficant;maternal
Fam149b;102,7900957;0,706252183;0,069067952;0,171213421;0,766462195;not-signficant;other
Gm10745;38,37304168;1,121316122;0,06907874;0,171213421;0,766462195;not-signficant;other
Ddx19b;237,6436794;0,592954728;0,069110319;0,171236692;0,766403169;not-signficant;other
Lrrc57;269,7816553;0,595167177;0,069123176;0,171236692;0,766403169;not-signficant;other
Usp8;204,7085114;0,606194197;0,069118639;0,171236692;0,766403169;not-signficant;other
