"Gene_id","Intersection_category","Intersection_count"
"COX7B","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"COX7C","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"CPHX3","B6D2F1 pure (N=1)",1
"CPSF6","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"CPT1A","B6D2F1 pure (N=1)",1
"CREB1","B6D2F1 pure (N=1)",1
"CREM","B6D2F1 pure (N=1)",1
"CROT","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"CRXOS","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2
"CRYZL2","B6D2F1 pure (N=1)",1
"CSPRS","B6D2F1 pure (N=1)",1
"CSTB","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"CSTF2T","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"CTF2","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"CTSB","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"CTSL","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"CUL3","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"CXCL10","B6D2F1 pure (N=1)",1
"CXCR2","B6D2F1 pure (N=1)",1
"CYC1","B6D2F1 pure (N=1)",1
"CYHR1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2
"CYSTM1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"D16ERTD472E","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"DARS2","B6D2F1 pure (N=1)",1
"DBR1","B6D2F1 pure (N=1)",1
"DCAF10","B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2
"DCDC2C","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"DCK","B6D2F1 pure (N=1)",1
"DCUN1D3","B6D2F1 pure (N=1)",1
"DDHD2","B6D2F1 pure (N=1)",1
"DDR2","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"DDX20","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"DDX49","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"DEAF1","B6D2F1 pure (N=1)",1
"DECR2","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"DENR","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"DGCR8","B6D2F1 pure (N=1)",1
"DGKA","B6D2F1 pure (N=1)",1
"DHCR7","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"DHPS","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"DHTKD1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"DHX33","B6D2F1 pure (N=1)",1
"DHX9","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"DIMT1","B6D2F1 pure (N=1)",1
"DIS3","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2
