"Intersection_category","Intersection_count","Gene_name","Gene_id"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2,"Casc4","ENSMUSG00000060227"
"B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)",2,"Casp3","ENSMUSG00000031628"
"B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)",2,"Cbwd1","ENSMUSG00000024878"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4,"Ccdc124","ENSMUSG00000007721"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Ccdc36","ENSMUSG00000047220"
"B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2,"Ccdc63","ENSMUSG00000043036"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2,"Ccl25","ENSMUSG00000023235"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3,"Ccnb1ip1","ENSMUSG00000071470"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Ccne1","ENSMUSG00000002068"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Ccnf","ENSMUSG00000072082"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Ccpg1","ENSMUSG00000034563"
"B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2,"Ccpg1os","ENSMUSG00000086158"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Cct3","ENSMUSG00000001416"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Cct4","ENSMUSG00000007739"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Cd2bp2","ENSMUSG00000042502"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Cd320","ENSMUSG00000002308"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4,"Cdc25c","ENSMUSG00000044201"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3,"Cdc5l","ENSMUSG00000023932"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Cdk1","ENSMUSG00000019942"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Cdk2ap1","ENSMUSG00000029394"
"C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Cdk9","ENSMUSG00000009555"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Cdkn1a","ENSMUSG00000023067"
"B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Cdkn2d","ENSMUSG00000096472"
"B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Cenpl","ENSMUSG00000026708"
