"Gene_id","Intersection_category","Intersection_count"
"ATG13","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"ATG14","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"ATL2","B6D2F1 pure (N=1)",1
"ATM","B6D2F1 pure (N=1)",1
"ATOX1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"ATP10B","B6D2F1 pure (N=1)",1
"ATP11B","B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2
"ATP13A3","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"ATP1B1","B6D2F1 pure (N=1)",1
"ATP23","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"ATP2A2","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2
"ATP2C1","B6D2F1 pure (N=1)",1
"ATP5C1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"ATP5F1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"ATP5G1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"ATP5G3","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"ATP5J","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"ATP5K","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"ATP5O","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"ATP6AP2","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"ATP6V0C","B6D2F1 pure (N=1)",1
"ATP6V0C-PS2","B6D2F1 pure (N=1)",1
"ATP6V0E","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"ATP6V0E2","B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2
"ATP6V1B2","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"ATP6V1C1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"ATP6V1E1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2
"ATP6V1H","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2
"ATPAF2","B6D2F1 pure (N=1)",1
"ATPIF1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"ATR","B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2
"ATRAID","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"ATRIP","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"ATXN2L","B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2
"ATXN3","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"ATXN7L3B","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2
"AU015228","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"AU015836","B6D2F1 pure (N=1)",1
"AU022252","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2
"AUNIP","B6D2F1 pure (N=1)",1
"AURKA","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"AURKAIP1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"AUTS2","B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2
"AVL9","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"AW554918","B6D2F1 pure (N=1)",1
"AXDND1","B6D2F1 pure (N=1)",1
"AXIN2","B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2
"AZIN1","B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2
"B020031M17RIK","B6D2F1 pure (N=1)",1
"B230219D22RIK","B6D2F1 pure (N=1)",1
"B2M","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"B3GNT2","B6D2F1 pure (N=1)",1
"B4GALT3","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"B4GALT4","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2
"B9D1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2
"BAG1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"BAG4","B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2
"BAG5","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)",2
"BAZ1A","B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2
"BAZ2A","B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2
"BBS1","B6D2F1 pure (N=1)",1
"BBS2","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"BBX","B6D2F1 pure (N=1)",1
"BC005537","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"BC005624","B6D2F1 pure (N=1)",1
"BC024063","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"BC028528","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2
"BC147527","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"BCAS1","B6D2F1 pure (N=1)",1
"BCAS2","B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2
"BCL2L1","B6D2F1 pure (N=1)",1
"BCL2L11","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"BCL7C","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"BCLAF1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"BDP1","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"BET1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2
"BICD1","B6D2F1 pure (N=1)",1
"BIN2","B6D2F1 pure (N=1)",1
"BIN3","B6D2F1 pure (N=1)",1
"BIRC5","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"BLM","B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2
"BLOC1S2","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"BNIP3","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"BOD1L","B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2
"BOLA1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"BOLA2","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"BRAP","B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2
"BRCA1","B6D2F1 pure (N=1)",1
"BRCA2","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"BRD8","B6D2F1 pure (N=1)",1
"BRIP1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"BRIX1","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3
