"gene","int","cnt"
"EXOSC2","B6D2F1 clean (N=1)|C57BL/6J clean (N=3)|C57BL/6J x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"EXOSC5","B6D2F1 clean (N=1)|C57BL/6J clean (N=3)|C57BL/6J x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"EXTL1","C57BL/6J clean (N=3)|ICR clean (N=1)",2
"FAF2","B6D2F1 clean (N=1)|C57BL/6J clean (N=3)|C57BL/6J x mix (N=3)",3
"FAM45A","B6D2F1 clean (N=1)|C57BL/6J clean (N=3)|C57BL/6J x mix (N=3)|CAST/EiJxC57BL/6J (N=1)|ICR clean (N=1)",5
"FAU","C57BL/6J clean (N=3)|C57BL/6J x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"FBH1","C57BL/6J clean (N=3)|ICR clean (N=1)",2
"FBXO15","B6D2F1 clean (N=1)|C57BL/6J clean (N=3)|C57BL/6J x mix (N=3)|CAST/EiJxC57BL/6J (N=1)|ICR clean (N=1)",5
"FBXO30","B6D2F1 clean (N=1)|C57BL/6J clean (N=3)",2
"FBXO36","B6D2F1 clean (N=1)|C57BL/6J clean (N=3)|C57BL/6J x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"FCF1","B6D2F1 clean (N=1)|C57BL/6J clean (N=3)|C57BL/6J x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"FDPS","B6D2F1 clean (N=1)|C57BL/6J clean (N=3)|C57BL/6J x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"FEM1C","B6D2F1 clean (N=1)|C57BL/6J clean (N=3)|CAST/EiJxC57BL/6J (N=1)|ICR clean (N=1)",4
"FIS1","C57BL/6J clean (N=3)|C57BL/6J x mix (N=3)",2
"FMR1","B6D2F1 clean (N=1)|C57BL/6J clean (N=3)|CAST/EiJxC57BL/6J (N=1)|ICR clean (N=1)",4
"FOXR1","B6D2F1 clean (N=1)|C57BL/6J clean (N=3)|C57BL/6J x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"FRG1","C57BL/6J clean (N=3)|ICR clean (N=1)",2
"FTH1","B6D2F1 clean (N=1)|C57BL/6J clean (N=3)|C57BL/6J x mix (N=3)|CAST/EiJxC57BL/6J (N=1)|ICR clean (N=1)",5
"FTL1","B6D2F1 clean (N=1)|C57BL/6J clean (N=3)|C57BL/6J x mix (N=3)|CAST/EiJxC57BL/6J (N=1)|ICR clean (N=1)",5
"FTL1-PS1","C57BL/6J clean (N=3)|CAST/EiJxC57BL/6J (N=1)",2
"FXR2","C57BL/6J clean (N=3)|ICR clean (N=1)",2
"GCSH","B6D2F1 clean (N=1)|C57BL/6J clean (N=3)|C57BL/6J x mix (N=3)",3
"GFPT1","B6D2F1 clean (N=1)|C57BL/6J clean (N=3)|C57BL/6J x mix (N=3)|ICR clean (N=1)",4
"GGNBP1","C57BL/6J clean (N=3)|CAST/EiJxC57BL/6J (N=1)",2
"GINS1","C57BL/6J clean (N=3)",1
"GINS4","B6D2F1 clean (N=1)|C57BL/6J clean (N=3)",2
"GLRX3","C57BL/6J clean (N=3)|C57BL/6J x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"GLUL","B6D2F1 clean (N=1)|C57BL/6J clean (N=3)|C57BL/6J x mix (N=3)|ICR clean (N=1)",4
"GM10123","C57BL/6J clean (N=3)|CAST/EiJxC57BL/6J (N=1)|ICR clean (N=1)",3
"GM10131","C57BL/6J clean (N=3)|C57BL/6J x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"GM10800","B6D2F1 clean (N=1)|C57BL/6J clean (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"GM10925","B6D2F1 clean (N=1)|C57BL/6J clean (N=3)",2
"GM11239","B6D2F1 clean (N=1)|C57BL/6J clean (N=3)|C57BL/6J x mix (N=3)|CAST/EiJxC57BL/6J (N=1)|ICR clean (N=1)",5
"GM11543","C57BL/6J clean (N=3)|C57BL/6J x mix (N=3)|ICR clean (N=1)",3
"GM11546","B6D2F1 clean (N=1)|C57BL/6J clean (N=3)",2
"GM11808","B6D2F1 clean (N=1)|C57BL/6J clean (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"GM12481","C57BL/6J clean (N=3)|C57BL/6J x mix (N=3)|ICR clean (N=1)",3
"GM12613","B6D2F1 clean (N=1)|C57BL/6J clean (N=3)",2
"GM12621","B6D2F1 clean (N=1)|C57BL/6J clean (N=3)",2
"GM12625","B6D2F1 clean (N=1)|C57BL/6J clean (N=3)",2
"GM12627","B6D2F1 clean (N=1)|C57BL/6J clean (N=3)",2
"GM16286","B6D2F1 clean (N=1)|C57BL/6J clean (N=3)|C57BL/6J x mix (N=3)|ICR clean (N=1)",4
"GM16381","C57BL/6J clean (N=3)|C57BL/6J x mix (N=3)",2
"GM16427","B6D2F1 clean (N=1)|C57BL/6J clean (N=3)|C57BL/6J x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"GM2001","C57BL/6J clean (N=3)|C57BL/6J x mix (N=3)",2
"GM20075","C57BL/6J clean (N=3)|ICR clean (N=1)",2
"GM20594","B6D2F1 clean (N=1)|C57BL/6J clean (N=3)|C57BL/6J x mix (N=3)|CAST/EiJxC57BL/6J (N=1)|ICR clean (N=1)",5
"GM21731","B6D2F1 clean (N=1)|C57BL/6J clean (N=3)|ICR clean (N=1)",3
"GM21818","B6D2F1 clean (N=1)|C57BL/6J clean (N=3)|C57BL/6J x mix (N=3)|CAST/EiJxC57BL/6J (N=1)|ICR clean (N=1)",5
"GM28285","B6D2F1 clean (N=1)|C57BL/6J clean (N=3)",2
"GM29666","B6D2F1 clean (N=1)|C57BL/6J clean (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"GM47283","C57BL/6J clean (N=3)",1
"GM48789","C57BL/6J clean (N=3)",1
"GM49359","B6D2F1 clean (N=1)|C57BL/6J clean (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"GM5590","B6D2F1 clean (N=1)|C57BL/6J clean (N=3)",2
"GM5612","B6D2F1 clean (N=1)|C57BL/6J clean (N=3)",2
"GM7536","B6D2F1 clean (N=1)|C57BL/6J clean (N=3)|CAST/EiJxC57BL/6J (N=1)|ICR clean (N=1)",4
"GM9973","B6D2F1 clean (N=1)|C57BL/6J clean (N=3)|C57BL/6J x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"GNAI3","C57BL/6J clean (N=3)|CAST/EiJxC57BL/6J (N=1)",2
"GON7","B6D2F1 clean (N=1)|C57BL/6J clean (N=3)|CAST/EiJxC57BL/6J (N=1)|ICR clean (N=1)",4
"GPN1","B6D2F1 clean (N=1)|C57BL/6J clean (N=3)|C57BL/6J x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"GPN3","B6D2F1 clean (N=1)|C57BL/6J clean (N=3)",2
